Data/date_local,Data/sample_measurement,Site
11/29/2020,7.6,BM
11/26/2020,6.8,BM
11/23/2020,5.7,BM
11/20/2020,14.2,BM
11/17/2020,3.4,BM
11/14/2020,10,BM
11/11/2020,6.1,BM
11/8/2020,27.1,BM
11/5/2020,9.9,BM
11/2/2020,2.2,BM
10/30/2020,1.9,BM
10/27/2020,7.3,BM
10/24/2020,4.5,BM
10/21/2020,8.3,BM
10/18/2020,9.2,BM
10/15/2020,7.7,BM
10/12/2020,1.4,BM
10/9/2020,5.8,BM
10/6/2020,7.8,BM
10/3/2020,6.2,BM
9/30/2020,3.7,BM
9/27/2020,3.9,BM
9/24/2020,12,BM
9/21/2020,4.7,BM
9/18/2020,8.2,BM
9/15/2020,3.6,BM
9/12/2020,4.8,BM
9/9/2020,5.6,BM
9/6/2020,6.5,BM
9/3/2020,7.5,BM
9/3/2020,NA,ES
9/6/2020,7.9,ES
10/24/2020,5.2,ES
9/18/2020,8.1,ES
9/12/2020,5.3,ES
11/23/2020,5.8,ES
11/29/2020,12.3,ES
10/18/2020,8.7,ES
9/30/2020,3.4,ES
10/12/2020,1.2,ES
10/6/2020,7.8,ES
10/30/2020,3.1,ES
11/11/2020,3.7,ES
11/17/2020,3.8,ES
9/24/2020,12.2,ES
9/9/2020,NA,ES
9/15/2020,NA,ES
9/21/2020,NA,ES
9/27/2020,NA,ES
10/3/2020,NA,ES
10/9/2020,NA,ES
10/15/2020,NA,ES
10/21/2020,NA,ES
10/27/2020,NA,ES
11/2/2020,NA,ES
11/5/2020,13.5,ES
11/8/2020,NA,ES
11/14/2020,NA,ES
11/20/2020,NA,ES
11/26/2020,NA,ES
9/6/2020,6.7,HU
9/3/2020,6.2,HU
9/9/2020,4.7,HU
9/12/2020,4.4,HU
9/15/2020,2.6,HU
9/18/2020,7.7,HU
9/21/2020,3.5,HU
9/24/2020,9.6,HU
9/27/2020,3.4,HU
9/30/2020,3,HU
10/3/2020,3.5,HU
10/6/2020,7,HU
10/9/2020,4.4,HU
10/12/2020,0.8,HU
10/15/2020,7.3,HU
10/18/2020,5.6,HU
10/21/2020,5.6,HU
10/24/2020,3.8,HU
10/27/2020,6,HU
10/30/2020,1.2,HU
11/2/2020,1.6,HU
11/5/2020,NA,HU
11/8/2020,NA,HU
11/11/2020,3.3,HU
11/14/2020,6.8,HU
11/17/2020,2.6,HU
11/20/2020,8.1,HU
11/23/2020,4.7,HU
11/26/2020,5.2,HU
11/29/2020,6.9,HU
