Neighborhood,Code,Square,Weight,mg/ml,ppb,daysout,Code,Al,Al_Percent,Al_per_day,Al_ppb,Al_ppb_day,Cr,Cr_Percent,Cr_ppb,Cr_ppb_day,Fe,Fe_Percent,Fe_per_day,Fe_Ppb,Fe_ppb_day,Pb,Pb_Percent,Pb_per_day,Pb_ppb,Pb_ppb_day,Ni,Ni_Percent,Ni_ppb,Ni_ppb_day
BK,56062,56,48.57,16.19,16190000,22,56062,290,0.001789,8.13E-05,17890,813,BLQ,NA,NA,NA,206,0.0012735,5.79E-05,12735,579,96,0.0005913,2.69E-05,5913,269,BLQ,NA,NA,NA
BK,12212,12,1.74,0.58,580000,27,12212,111,0.0191766,0.000710244,191766,7102,BLQ,NA,NA,NA,52,0.0088978,0.000329548,88978,3295,7,0.0011395,4.22E-05,11395,422,BLQ,NA,NA,NA
CB,6372,6,3.85,1.283333333,1283333.333,24,6372,62,0.0048661,0.000202754,48661,2028,BLQ,NA,NA,NA,50,0.0038892,0.00016205,38892,1621,14,0.0010772,4.49E-05,10772,449,BLQ,NA,NA,NA
BK,21042,21,3.42,1.14,1140000,22,21042,61,0.0053834,0.0002447,53834,2447,BLQ,NA,NA,NA,27,0.0024105,0.000109568,24105,1096,11,0.0009968,4.53E-05,9968,453,BLQ,NA,NA,NA
BK,13032,13,0.96,0.32,320000,27,13032,109,0.0340343,0.00126053,340343,12605,BLQ,NA,NA,NA,35,0.0108974,0.000403607,108974,4036,4,0.0012504,4.63E-05,12504,463,BLQ,NA,NA,NA
BK,20132,20,0.83,0.276666667,276666.6667,22,20132,67,0.0243133,0.00110515,243133,11051,BLQ,NA,NA,NA,24,0.0087094,0.000395882,87094,3959,3,0.0010943,4.97E-05,10943,497,BLQ,NA,NA,NA
BK,12082,12,3.93,1.31,1310000,27,12082,138,0.0105159,0.000389478,105159,3895,BLQ,NA,NA,NA,93,0.0071175,0.000263611,71175,2636,18,0.0013497,5.00E-05,13497,500,BLQ,NA,NA,NA
BK,43042,43,0.65,0.216666667,216666.6667,22,43042,1054,0.4862589,0.022102677,4862589,221027,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,2,0.0011289,5.13E-05,11289,513,BLQ,NA,NA,NA
CB,15552,15,72.82,24.27333333,24273333.33,24,15552,752,0.0030999,0.000129163,30999,1292,BLQ,NA,NA,NA,375,0.0015466,6.44E-05,15466,644,307,0.0012665,5.28E-05,12665,528,BLQ,NA,NA,NA
BK,31222,31,0.91,0.303333333,303333.3333,22,31222,75,0.0248851,0.001131141,248851,11311,BLQ,NA,NA,NA,379,0.1250875,0.005685795,1250875,56858,4,0.0011632,5.29E-05,11632,529,BLQ,NA,NA,NA
